#GeneID	TF_ID
ENSMUSG00000058655	ENSMUSG00000049672
ENSMUSG00000059588	ENSMUSG00000049672
ENSMUSG00000059895	ENSMUSG00000049672
ENSMUSG00000060798	ENSMUSG00000049672
ENSMUSG00000060935	ENSMUSG00000049672
ENSMUSG00000062861	ENSMUSG00000049672
ENSMUSG00000063172	ENSMUSG00000049672
ENSMUSG00000063200	ENSMUSG00000049672
ENSMUSG00000063253	ENSMUSG00000049672
ENSMUSG00000063383	ENSMUSG00000049672
ENSMUSG00000063856	ENSMUSG00000049672
ENSMUSG00000071076	ENSMUSG00000049672
ENSMUSG00000071078	ENSMUSG00000049672
ENSMUSG00000071451	ENSMUSG00000049672
ENSMUSG00000071456	ENSMUSG00000049672
ENSMUSG00000072704	ENSMUSG00000049672
ENSMUSG00000072960	ENSMUSG00000049672
ENSMUSG00000073478	ENSMUSG00000049672
ENSMUSG00000073627	ENSMUSG00000049672
ENSMUSG00000073643	ENSMUSG00000049672
ENSMUSG00000073741	ENSMUSG00000049672
ENSMUSG00000074178	ENSMUSG00000049672
ENSMUSG00000074398	ENSMUSG00000049672
ENSMUSG00000074890	ENSMUSG00000049672
ENSMUSG00000075419	ENSMUSG00000049672
ENSMUSG00000078652	ENSMUSG00000049672
ENSMUSG00000079605	ENSMUSG00000049672
ENSMUSG00000083816	ENSMUSG00000049672
ENSMUSG00000084771	ENSMUSG00000049672
ENSMUSG00000085455	ENSMUSG00000049672
ENSMUSG00000085578	ENSMUSG00000049672
ENSMUSG00000086015	ENSMUSG00000049672
ENSMUSG00000086493	ENSMUSG00000049672
ENSMUSG00000086539	ENSMUSG00000049672
ENSMUSG00000087050	ENSMUSG00000049672
ENSMUSG00000087272	ENSMUSG00000049672
ENSMUSG00000091337	ENSMUSG00000049672
ENSMUSG00000092074	ENSMUSG00000049672
ENSMUSG00000092118	ENSMUSG00000049672
ENSMUSG00000092124	ENSMUSG00000049672
ENSMUSG00000096923	ENSMUSG00000049672
ENSMUSG00000096933	ENSMUSG00000049672
ENSMUSG00000096985	ENSMUSG00000049672
ENSMUSG00000097077	ENSMUSG00000049672
ENSMUSG00000097078	ENSMUSG00000049672
ENSMUSG00000097121	ENSMUSG00000049672
ENSMUSG00000097282	ENSMUSG00000049672
ENSMUSG00000097402	ENSMUSG00000049672
ENSMUSG00000097572	ENSMUSG00000049672
ENSMUSG00000097583	ENSMUSG00000049672
ENSMUSG00000097792	ENSMUSG00000049672
ENSMUSG00000097835	ENSMUSG00000049672
ENSMUSG00000097842	ENSMUSG00000049672
ENSMUSG00000097855	ENSMUSG00000049672
ENSMUSG00000097865	ENSMUSG00000049672
ENSMUSG00000002250	ENSMUSG00000049672
ENSMUSG00000002345	ENSMUSG00000049672
ENSMUSG00000004266	ENSMUSG00000049672
ENSMUSG00000004328	ENSMUSG00000049672
ENSMUSG00000004637	ENSMUSG00000049672
ENSMUSG00000004934	ENSMUSG00000049672
ENSMUSG00000004937	ENSMUSG00000049672
ENSMUSG00000005813	ENSMUSG00000049672
ENSMUSG00000007837	ENSMUSG00000049672
ENSMUSG00000014030	ENSMUSG00000049672
ENSMUSG00000014496	ENSMUSG00000049672
ENSMUSG00000014592	ENSMUSG00000049672
ENSMUSG00000015335	ENSMUSG00000049672
ENSMUSG00000016477	ENSMUSG00000049672
ENSMUSG00000018796	ENSMUSG00000049672
ENSMUSG00000019132	ENSMUSG00000049672
ENSMUSG00000019818	ENSMUSG00000049672
ENSMUSG00000019943	ENSMUSG00000049672
ENSMUSG00000020078	ENSMUSG00000049672
ENSMUSG00000020114	ENSMUSG00000049672
ENSMUSG00000020303	ENSMUSG00000049672
ENSMUSG00000020538	ENSMUSG00000049672
ENSMUSG00000020647	ENSMUSG00000049672
ENSMUSG00000020739	ENSMUSG00000049672
ENSMUSG00000020893	ENSMUSG00000049672
ENSMUSG00000020923	ENSMUSG00000049672
ENSMUSG00000020962	ENSMUSG00000049672
ENSMUSG00000021079	ENSMUSG00000049672
ENSMUSG00000021180	ENSMUSG00000049672
ENSMUSG00000021273	ENSMUSG00000049672
ENSMUSG00000021413	ENSMUSG00000049672
ENSMUSG00000021831	ENSMUSG00000049672
ENSMUSG00000021936	ENSMUSG00000049672
ENSMUSG00000022019	ENSMUSG00000049672
ENSMUSG00000022377	ENSMUSG00000049672
ENSMUSG00000022946	ENSMUSG00000049672
ENSMUSG00000022951	ENSMUSG00000049672
ENSMUSG00000023169	ENSMUSG00000049672
ENSMUSG00000024194	ENSMUSG00000049672
ENSMUSG00000024642	ENSMUSG00000049672
ENSMUSG00000024892	ENSMUSG00000049672
ENSMUSG00000024906	ENSMUSG00000049672
ENSMUSG00000024974	ENSMUSG00000049672
ENSMUSG00000025007	ENSMUSG00000049672
