# Gene name	miRNA ID
ENSMUSG00000000686	mmu-miR-342-3p
ENSMUSG00000000686	mmu-miR-362-5p
ENSMUSG00000000686	mmu-miR-466d-5p
ENSMUSG00000000686	mmu-miR-466k
ENSMUSG00000000686	mmu-miR-501-5p
ENSMUSG00000000690	mmu-miR-339-3p
ENSMUSG00000000690	mmu-miR-532-3p
ENSMUSG00000000690	mmu-miR-542-5p
ENSMUSG00000000693	mmu-miR-1187
ENSMUSG00000000693	mmu-miR-1198-5p
ENSMUSG00000000693	mmu-miR-188-3p
ENSMUSG00000000693	mmu-miR-34b-5p
ENSMUSG00000000693	mmu-miR-362-3p
ENSMUSG00000000693	mmu-miR-362-5p
ENSMUSG00000000693	mmu-miR-466d-5p
ENSMUSG00000000693	mmu-miR-466k
ENSMUSG00000000693	mmu-miR-466n-3p
ENSMUSG00000000693	mmu-miR-501-5p
ENSMUSG00000000693	mmu-miR-542-3p
ENSMUSG00000000693	mmu-miR-669f-3p
ENSMUSG00000000708	mmu-miR-1187
ENSMUSG00000000708	mmu-miR-151-3p
ENSMUSG00000000708	mmu-miR-32-3p
ENSMUSG00000000708	mmu-miR-34b-3p
ENSMUSG00000000708	mmu-miR-363-3p
ENSMUSG00000000708	mmu-miR-409-3p
ENSMUSG00000000708	mmu-miR-466d-5p
ENSMUSG00000000708	mmu-miR-532-5p
ENSMUSG00000000708	mmu-miR-669f-3p
ENSMUSG00000000708	mmu-miR-93-5p
ENSMUSG00000000740	mmu-miR-363-3p
ENSMUSG00000000743	mmu-miR-188-3p
ENSMUSG00000000743	mmu-miR-188-5p
ENSMUSG00000000743	mmu-miR-363-5p
ENSMUSG00000000743	mmu-miR-450b-5p
ENSMUSG00000000743	mmu-miR-542-5p
ENSMUSG00000000751	mmu-miR-361-5p
ENSMUSG00000000751	mmu-miR-501-5p
ENSMUSG00000000751	mmu-miR-542-3p
ENSMUSG00000000759	mmu-miR-3091-3p
ENSMUSG00000000759	mmu-miR-342-3p
ENSMUSG00000000759	mmu-miR-34b-5p
ENSMUSG00000000759	mmu-miR-410-3p
ENSMUSG00000000759	mmu-miR-466d-5p
ENSMUSG00000000759	mmu-miR-532-3p
ENSMUSG00000000782	mmu-miR-151-3p
