Protein	Ratio_0	Ratio_2	Ratio_6	Ratio_12	Ratio_18	Ratio_24
Casp3	-0.342889	1.366120	0.019345	-3.459833	-0.341465	1.975823
Casp7	0.839635	1.221580	9.458403	10.250911	0.064510	-1.147971
Cast	-2.057731	2.621659	-1.692469	-1.069921	0.372426	-1.147971
Cat	-1.764125	0.668266	-0.251746	-1.625752	-2.096605	-0.690691
Cbfb	-0.236800	1.068416	1.113210	4.035701	0.468876	-1.885448
Cbl	-3.235434	3.272434	-0.339589	-3.588947	0.064510	-1.147971
Cbx1	-0.744162	1.646487	0.881614	-6.740956	-0.430170	-3.001687
Cbx2	0.803235	3.517386	1.113210	-2.421804	1.116674	-1.147971
Cbx3	-1.009367	1.549666	-0.326658	1.941954	-0.910363	-0.806550
Cbx5	-0.991682	0.814003	-0.333907	-0.447531	0.422666	-1.201588
Ccar1	1.034923	0.850012	-1.279092	-6.462093	1.172535	-0.036118
Ccdc12	0.984932	5.687136	-0.969084	0.672080	0.064510	-1.147971
Ccdc124	0.615633	3.417409	-0.709371	2.856491	0.064510	1.244726
Ccdc47	0.984932	0.747233	0.815526	-1.526969	1.992797	-2.107436
Ccdc58	-1.193557	-3.870451	1.113210	0.672080	-3.533666	-1.147971
Ccdc88b	0.984932	1.466922	-0.222681	-4.133417	0.064510	-2.506890
Ccnb1	-0.013831	1.221580	1.113210	-2.727624	-2.985718	-1.147971
Ccnd3	-0.755897	1.221580	1.113210	0.672080	-1.567517	-1.147971
Ccnk	-0.303740	0.888444	1.113210	0.997634	-1.326514	-1.147971
Cct2	-0.199238	1.299041	-0.337123	0.828651	-0.811782	-1.499535
Cct3	0.072687	1.050748	-0.374642	1.257871	-1.351281	-1.406685
Cct4	0.323567	1.195441	-0.475773	0.554504	-0.385476	-1.316588
Cct5	-1.125215	1.726560	-0.391262	0.277488	-0.977100	-1.390383
Cct6a	-0.569849	1.585149	-0.483453	0.969951	-3.023555	-1.184789
Cct7	-0.165678	1.287300	-0.676051	0.522833	-1.099276	-1.241576
Cct8	0.365023	1.187367	-0.667929	0.059622	-0.800759	-1.250877
Cd2bp2	-1.215540	3.636251	-0.603321	0.672080	-2.316082	-0.538734
Cd37	-0.219769	-0.040998	-0.592627	0.672080	-3.095197	-2.996607
Cd3eap	0.863620	-0.787488	1.113210	-3.036448	2.187007	-1.147971
Cd44	0.984932	1.380187	-0.581363	3.547323	0.064510	-3.624000
Cd47	-1.073252	-0.279761	0.230186	5.028824	0.064510	-0.312966
Cd48	-0.711013	3.957022	1.113210	-2.275850	-2.054146	-1.147971
Cd69	3.889332	0.579162	1.113210	0.379277	-0.711957	-1.147971
Cd72	-0.158832	0.453912	-2.070114	2.389920	-1.473616	-1.147971
Cd79a	0.921025	1.706542	-0.291010	3.114925	-0.030853	-1.188539
Cd79b	-3.735797	-0.357919	0.069238	-1.449134	0.476629	-0.759346
Cd81	0.984932	0.549311	-0.318763	5.613730	0.064510	-0.911771
