#Gene name	I/C_0h	I/C_2h	I/C_6h	I/C_12h	I/C_18h	I/C_24h
ENSMUSG00000001815	-0.327238	-0.077745	-0.204278	0.488129	-0.320525	-0.334778
ENSMUSG00000001819	0.228422	-0.022062	0.341072	0.233617	-0.176761	-0.827655
ENSMUSG00000001829	-0.036672	-0.246119	-0.025846	-0.105692	-0.219660	0.114234
ENSMUSG00000001833	0.133541	0.169625	0.157845	1.017905	0.593083	1.309513
ENSMUSG00000001844	0.507836	0.755882	0.610362	0.156003	0.384876	0.221030
ENSMUSG00000001847	0.748204	1.141412	0.636573	1.004873	-0.105703	-0.016895
ENSMUSG00000001855	0.282077	0.055596	0.423633	-0.165866	0.208419	-0.078545
ENSMUSG00000001864	0.097839	-0.021530	0.049962	-0.123722	-0.070017	-0.109358
ENSMUSG00000001870	-0.414862	0.291223	0.259673	0.626097	0.022073	0.326773
ENSMUSG00000001891	0.034708	-0.150556	0.238094	-0.322055	0.293317	0.045859
ENSMUSG00000001901	0.087459	0.142608	-0.220635	-0.050929	-0.032331	-0.124909
ENSMUSG00000001909	-0.016674	0.083000	0.164574	0.039628	-0.023383	-0.206229
ENSMUSG00000001910	-0.224607	0.259569	0.633682	0.343534	0.146838	-0.111332
ENSMUSG00000001911	0.177465	-0.410485	-0.566753	-0.873200	-1.050010	-0.549279
ENSMUSG00000001918	0.301063	-0.117295	-0.082634	-0.470187	-0.218944	-0.325757
ENSMUSG00000001924	0.433063	0.028954	0.265054	-0.121129	0.119826	0.045213
ENSMUSG00000001930	-1.158366	0.157395	0.325144	3.095374	1.450653	1.984409
ENSMUSG00000001942	-0.164576	0.367482	0.590895	1.326670	1.197872	1.116669
ENSMUSG00000001946	0.087120	1.311264	0.282803	0.644602	0.297288	-0.172207
ENSMUSG00000001948	0.265224	0.269630	0.342273	0.447652	0.056960	0.467575
ENSMUSG00000001962	0.152252	0.025523	0.233215	0.128667	0.122586	-0.073591
ENSMUSG00000001964	0.130943	-0.135150	0.074182	-0.311423	0.242051	-0.039495
ENSMUSG00000001983	0.133285	-0.181369	-0.173760	-0.624819	-0.622731	-0.462587
ENSMUSG00000001985	-0.987704	0.439640	-0.251571	0.472473	0.045120	0.026168
ENSMUSG00000001986	0.366398	-0.288153	0.266730	0.562732	-0.006553	0.148495
ENSMUSG00000001988	-0.613205	-0.022206	-0.347734	-0.227203	-0.095118	-0.100516
ENSMUSG00000001995	-0.412111	0.435178	0.732798	0.376702	0.725160	0.661849
ENSMUSG00000001998	-0.027586	-0.811936	-0.309710	-0.557051	-1.036007	-1.092694
ENSMUSG00000001999	0.013110	0.070722	-0.346579	-0.184434	-0.241756	-0.281760
ENSMUSG00000002006	0.435341	-0.006109	0.399994	0.724140	0.748522	1.018401
ENSMUSG00000002007	0.004407	-0.614427	0.359745	-0.026732	0.137570	0.112972
ENSMUSG00000002010	0.322001	-0.069104	-0.203264	-0.587064	-0.037862	-0.396835
ENSMUSG00000002012	-0.011516	-0.055146	-0.651988	-0.122276	-0.190931	-0.190169
ENSMUSG00000002014	0.322001	-0.069104	-0.203264	-0.587064	-0.037862	-0.396835
ENSMUSG00000002015	0.455634	-0.414145	-0.190612	-0.209412	0.211314	-0.468713
ENSMUSG00000002017	0.319076	-0.190482	-0.036516	-0.355523	0.125741	-0.117752
ENSMUSG00000002020	-0.072789	0.063411	-0.016341	0.220243	0.218013	0.192924
ENSMUSG00000002028	0.102147	-0.199307	0.077458	0.428927	0.197679	0.076830
ENSMUSG00000002031	0.477575	0.218500	0.289132	-0.120972	0.230233	0.138293
ENSMUSG00000002032	0.387574	-0.048488	0.311464	-0.188217	0.698329	0.701312
ENSMUSG00000002033	0.342643	-0.339772	-0.300673	-0.489142	-0.334485	-0.303768
ENSMUSG00000002043	0.214909	-0.076466	-0.052268	-0.454558	-0.181100	-0.188633
ENSMUSG00000002052	0.097315	0.235733	0.301554	-0.269755	-0.070230	-0.238404
ENSMUSG00000002055	0.209451	-0.187609	-0.023072	0.011447	-0.157155	-0.121973
ENSMUSG00000002057	-0.317493	0.094393	-0.316405	0.041651	-0.289597	-0.148836
