#geneID	Ikaros/Control_0h	Ikaros/Control_2h	Ikaros/Control_6h	Ikaros/Control_12h	Ikaros/Control_18h	Ikaros/Control_24h
ENSMUSG00000001166	-0.337187	-0.668461	-0.007872	0.485309	0.529266	0.757830
ENSMUSG00000001173	-0.066965	-0.629159	-1.065361	-1.010502	-0.907413	-0.715036
ENSMUSG00000001175	-0.093267	-0.069297	0.166490	0.001027	-0.125406	-0.268947
ENSMUSG00000001211	0.634922	0.931300	0.951658	0.804233	0.456537	0.458330
ENSMUSG00000001227	0.425815	-1.787389	-2.634441	-1.529655	-2.016204	-2.214182
ENSMUSG00000001228	-0.084403	-0.258805	-0.120172	-0.245224	-0.353703	-1.143980
ENSMUSG00000001229	0.042923	-0.149776	0.310914	0.127822	0.343874	0.011263
ENSMUSG00000001240	-0.947553	-0.761213	-2.432034	-2.824905	-4.519058	-4.555993
ENSMUSG00000001247	-0.302171	0.020547	-0.924403	0.358230	-0.478935	0.310089
ENSMUSG00000001248	0.163805	0.133590	0.045662	0.901267	1.576962	2.200807
ENSMUSG00000001280	0.293078	-0.439923	0.159146	-0.471678	0.267816	-0.086218
ENSMUSG00000001281	0.987527	2.386129	5.269181	4.372658	2.949283	1.094786
ENSMUSG00000001285	0.112571	0.319684	0.357164	0.241705	-0.182783	-0.259599
ENSMUSG00000001288	0.810351	0.760550	2.170723	0.169001	0.774460	0.267996
ENSMUSG00000001289	0.243042	0.681101	0.509893	0.326699	0.207205	1.174429
ENSMUSG00000001300	-0.291639	0.052697	-1.826522	-0.828212	-0.485583	-1.022376
ENSMUSG00000001305	-0.022199	0.189156	-0.476004	-1.336135	-2.315823	-1.966045
ENSMUSG00000001313	-0.123202	1.257193	2.006963	1.734880	1.262865	0.679290
ENSMUSG00000001323	0.563193	0.789902	0.618115	0.409157	0.788227	0.833967
ENSMUSG00000001348	-0.374180	-0.488026	-1.704831	-1.235551	-0.585390	0.067166
ENSMUSG00000001366	0.126241	-0.109646	0.158939	-0.322476	-0.179852	-0.213037
ENSMUSG00000001376	-0.008568	0.069014	-0.506686	-0.730114	-0.438857	-0.214911
ENSMUSG00000001379	-0.110910	0.103964	0.150957	0.044714	0.357405	0.134368
ENSMUSG00000001380	-0.127666	-0.218484	0.021167	-0.183892	-0.269279	-0.625404
ENSMUSG00000001383	-0.023749	0.100821	-0.077969	0.240590	0.143903	0.186401
ENSMUSG00000001403	0.066504	0.255827	0.269729	0.137793	0.279344	0.183541
ENSMUSG00000001415	-0.057228	-0.001513	-0.119480	-0.249661	-0.604215	-0.724502
ENSMUSG00000001416	0.038450	0.086942	-0.144838	-0.722324	-1.194699	-1.480972
ENSMUSG00000001418	0.337844	0.187816	-2.541335	-2.270200	-1.933362	-1.966081
ENSMUSG00000001419	-0.390682	-0.294328	0.305716	0.464997	0.923104	0.581234
ENSMUSG00000001420	-0.458204	-0.539547	-1.112385	-1.221720	-1.817867	-2.282256
ENSMUSG00000001424	-0.169046	-0.209774	0.120584	0.004962	-0.052298	-0.520227
ENSMUSG00000001435	0.736546	0.391622	0.198671	-0.036379	-1.257932	-0.710860
ENSMUSG00000001436	-0.085679	-0.579071	-1.395446	-1.898111	-2.295729	-2.648568
ENSMUSG00000001440	0.248139	-0.075554	0.312650	-0.574392	-0.426584	-0.564743
ENSMUSG00000001441	0.334121	0.731627	0.210321	0.629224	-0.320007	-0.078920
ENSMUSG00000001445	-0.214093	-0.096050	-0.079038	0.293778	0.328010	0.069417
ENSMUSG00000001467	0.331111	0.519236	0.636229	0.171640	0.257262	0.565971
ENSMUSG00000001472	0.022713	0.090280	0.211455	0.250729	0.343131	0.553637
ENSMUSG00000001473	0.310620	0.980323	-2.887254	-2.573957	-2.732270	-3.786921
ENSMUSG00000001482	0.075063	0.122486	0.544662	0.263579	0.372370	-0.011977
ENSMUSG00000001494	-4.980219	-4.265542	-5.963780	-5.401811	-5.973227	-5.637365
ENSMUSG00000001496	-0.880052	-0.454691	0.547999	0.606729	0.137478	-0.405796
ENSMUSG00000001517	0.122175	0.312569	0.438307	0.452564	0.470309	-0.006946
ENSMUSG00000001518	-0.252273	-0.074574	-0.017469	0.548836	-0.288914	-0.346287
ENSMUSG00000001521	-0.104858	-0.289757	-0.659774	-1.109283	-1.234583	-1.328997
ENSMUSG00000001524	-0.171631	-0.150581	-0.280388	-0.232429	-0.700633	-1.217542
ENSMUSG00000001525	0.082802	0.146966	0.302922	0.047642	0.397024	0.288349
ENSMUSG00000001542	-0.258404	-0.680626	-0.152697	0.023824	-0.139784	0.030001
ENSMUSG00000001558	0.702160	0.845451	0.634383	1.436989	-0.157644	-0.551713
ENSMUSG00000001569	-0.098004	-0.221345	-0.205089	-0.638009	-0.686446	-0.753418
ENSMUSG00000001576	-0.054217	-0.016475	-0.231393	-0.655336	-1.276146	-2.065790
ENSMUSG00000001588	-0.316672	-0.218511	-0.715699	-0.370894	-0.396266	-0.255165
ENSMUSG00000001627	-0.239375	-0.658834	-0.777571	-1.396268	-1.780946	-2.133999
ENSMUSG00000001630	0.080113	0.251097	-0.310650	0.605306	2.426563	3.245136
ENSMUSG00000001632	-0.091480	0.138556	0.058551	-0.238143	-0.519981	-0.545182
ENSMUSG00000001642	0.111419	0.067474	0.270690	0.399911	0.445477	0.277126
ENSMUSG00000001661	-0.663050	-0.122721	0.611344	0.493678	1.044846	0.518626
ENSMUSG00000001665	-0.241424	-0.742539	-1.042671	-0.962719	-0.132960	-0.336034
ENSMUSG00000001666	0.145029	0.121381	-0.111593	0.736753	0.622109	0.495244
ENSMUSG00000001674	-0.107086	-0.011184	-0.095118	-0.997264	-1.705929	-1.503188
ENSMUSG00000001687	-0.236102	-0.067627	0.210913	0.486131	0.526472	0.609046
ENSMUSG00000001707	-0.310253	-0.446570	-0.439649	-1.156495	-1.661304	-2.117350
ENSMUSG00000001729	0.176747	0.050526	0.441045	0.062865	0.525784	0.479168
ENSMUSG00000001739	0.448799	-0.471184	-0.622142	0.228529	-1.192506	-2.498540
ENSMUSG00000001741	0.659983	0.347080	1.027675	2.265340	3.374845	3.988328
ENSMUSG00000001750	-0.236791	-0.734978	-0.888807	0.057824	0.022187	-0.066854
ENSMUSG00000001751	-0.066304	0.118754	0.597157	1.069342	0.549012	0.601686
ENSMUSG00000001755	0.083236	0.080521	0.629323	0.272398	0.511063	0.644236
ENSMUSG00000001761	0.367836	0.311252	0.094798	-0.057310	-0.226051	-0.455972
ENSMUSG00000001763	-0.222965	1.669331	0.393207	-0.358656	-1.467413	0.055367
ENSMUSG00000001767	-0.027730	-0.453929	0.281654	0.150231	0.393490	0.742583
ENSMUSG00000001774	0.167595	-0.066526	-0.589654	-0.316186	-0.214064	-0.114521
ENSMUSG00000001783	-0.147818	-0.051683	-0.265998	-0.133995	-0.260720	-0.166898
ENSMUSG00000001785	-0.201284	-0.283665	-0.445556	-1.187049	-1.192961	-1.289943
ENSMUSG00000001786	-0.336523	-0.490965	-0.629580	0.006453	-0.626378	-0.693105
ENSMUSG00000001794	-0.035141	0.363635	0.024933	0.673663	0.534167	0.580557
ENSMUSG00000001829	-0.041553	0.069423	0.129539	-0.346084	-1.431886	-1.419409
ENSMUSG00000001833	0.118080	0.249868	0.238961	0.070492	-0.070289	0.069693
ENSMUSG00000001844	0.085577	0.357892	0.037771	0.359302	-0.183309	-0.243420
ENSMUSG00000001847	0.513304	0.217972	-0.018373	0.032914	0.341478	0.395550
ENSMUSG00000001855	-0.112480	-0.243690	-0.459870	-0.317418	-0.262619	-0.612549
ENSMUSG00000001870	0.114861	-0.880206	-0.504455	-0.775573	-1.100819	-1.263551
ENSMUSG00000001891	-0.117485	0.381308	0.534402	0.244587	0.114945	0.416439
ENSMUSG00000001909	-0.276168	0.010125	-0.505011	-0.432575	-1.074140	-1.128633
ENSMUSG00000001910	-0.016992	-0.049201	0.114919	0.027707	0.072219	-0.269221
ENSMUSG00000001911	0.121361	0.070515	-0.537403	-1.292849	-2.264697	-2.236434
ENSMUSG00000001918	-0.163196	-0.172136	-0.671788	-0.662161	-1.102892	-1.477424
ENSMUSG00000001924	0.182610	0.093559	0.263763	0.176055	0.330573	0.093120
ENSMUSG00000001930	-0.282046	-0.169201	-0.784265	-0.368083	-0.464854	-0.173556
ENSMUSG00000001942	1.024920	0.341851	0.131326	0.425289	0.493998	0.584534
ENSMUSG00000001946	0.013065	0.116708	-0.320597	0.151945	0.524402	-0.538398
ENSMUSG00000001948	2.501708	1.960591	0.314622	0.535845	-0.467863	1.419626
ENSMUSG00000001962	0.067007	0.489448	0.084789	-0.005704	-0.384540	0.331577
ENSMUSG00000001964	-0.065967	0.377177	0.401121	0.531367	0.250526	-0.011249
ENSMUSG00000001983	0.049644	-0.128778	0.251368	-0.030987	0.179625	-0.366613
ENSMUSG00000001998	0.160150	-0.233945	-0.068554	-0.612191	-0.143827	-0.119070
ENSMUSG00000001999	0.080696	0.462094	0.095707	-0.322589	-0.551417	-0.071025
ENSMUSG00000002006	0.068874	-0.247527	-0.442032	-0.940992	-1.332701	-1.167443
ENSMUSG00000002007	-0.277261	-0.216683	-0.409886	1.341829	2.078906	2.432914
ENSMUSG00000002010	0.104568	0.167045	-0.061085	0.306926	0.321859	0.211302
ENSMUSG00000002014	0.086342	-0.171175	-0.750487	-0.443051	-1.079029	-1.069251
ENSMUSG00000002015	0.250147	0.432309	0.057935	0.296025	-0.132108	-0.279816
ENSMUSG00000002017	-0.283299	-0.283929	-0.049839	-0.455805	-0.510134	-0.660530
ENSMUSG00000002020	0.357279	-2.018422	0.601306	1.725513	1.117299	1.787457
ENSMUSG00000002028	-0.090821	0.034175	-0.178584	0.184576	0.351429	0.601331
ENSMUSG00000002031	0.204234	0.508021	0.267813	1.065784	1.387254	1.474275
ENSMUSG00000002032	-0.568108	0.870986	1.645157	0.882479	1.563135	0.238145
ENSMUSG00000002043	0.021783	0.416671	0.200156	0.771078	0.498795	0.266030
ENSMUSG00000002052	-0.043475	-0.023376	-0.168146	-0.050323	-0.018625	-0.016919
ENSMUSG00000002055	0.211053	0.335673	0.464109	0.075689	0.443534	0.156541
ENSMUSG00000002058	0.078390	0.050149	-0.025212	-0.461379	-0.475330	-0.077369
ENSMUSG00000002059	0.224964	-0.294875	0.645733	-0.609712	-1.391550	-1.285472
ENSMUSG00000002064	-0.283242	0.156048	0.099335	0.027819	0.407107	0.600655
ENSMUSG00000002068	-0.009879	0.162571	0.433138	-0.536499	-1.048161	-1.733328
ENSMUSG00000002083	-0.192410	-0.905570	-0.732947	-0.473146	-0.381881	0.394265
ENSMUSG00000002100	-0.202769	1.234024	1.263087	1.218385	1.347834	-0.340980
ENSMUSG00000002102	0.001979	0.139432	0.062411	-0.314285	-0.320696	-0.236857
ENSMUSG00000002103	0.219342	0.014949	-0.196342	-0.171314	-0.039827	0.617708
ENSMUSG00000002104	-0.180556	0.892461	1.414585	1.994718	1.528787	1.546431
ENSMUSG00000002105	-0.156847	0.453252	0.475045	0.271222	0.338297	0.564001
ENSMUSG00000002107	-0.272505	-0.338440	-0.454900	-0.160593	0.167570	0.232226
ENSMUSG00000002108	-0.977117	-1.518980	-1.581811	1.636825	-0.382722	0.973585
ENSMUSG00000002109	0.026171	0.424724	0.342547	1.346463	0.273478	-0.094864
ENSMUSG00000002111	-0.067907	0.819274	1.445942	1.409319	0.822828	0.740450
ENSMUSG00000002129	-0.064572	-0.004503	0.019647	0.199432	0.020833	-0.441899
ENSMUSG00000002147	0.173472	0.007901	0.439909	0.513668	0.580227	0.556664
ENSMUSG00000002204	-0.249956	0.104191	-0.123695	0.213471	-0.074516	-0.428730
ENSMUSG00000002205	-0.121540	0.026328	0.204908	0.431145	0.826708	0.995146
ENSMUSG00000002210	-0.167842	-0.084432	-0.555973	-0.265649	-0.428881	-0.484024
ENSMUSG00000002221	-0.084032	0.124363	0.396352	-0.007705	0.012113	-0.423313
ENSMUSG00000002222	-0.010787	-0.067058	0.291158	0.208623	1.051081	0.718003
ENSMUSG00000002227	-0.044863	0.116650	0.106746	0.415329	0.050760	0.078065
ENSMUSG00000002233	-0.246933	-0.523578	-0.382100	0.427413	2.668195	2.989606
ENSMUSG00000002250	0.356192	-0.275584	-0.550180	-0.798445	-0.990859	-1.103038
ENSMUSG00000002257	0.065082	0.383650	0.205275	-0.648181	-0.918516	-0.679171
ENSMUSG00000002274	0.032408	0.132801	0.273508	-0.552253	-1.087013	-1.612280
ENSMUSG00000002279	-0.136959	0.084950	-0.314463	-0.181511	-0.748009	-0.759619
ENSMUSG00000002280	-0.080834	0.162231	0.094115	0.001628	-0.000913	0.201816
ENSMUSG00000002289	-0.340442	0.841421	0.454855	0.517907	-0.503502	-0.876199
ENSMUSG00000002297	0.055261	0.222645	0.239173	-0.382479	-0.371037	-0.561857
ENSMUSG00000002307	-0.090897	0.004762	0.389185	0.158458	0.464788	0.529477
ENSMUSG00000002308	-0.408934	-0.355237	-0.780896	-1.038616	-1.923653	-2.197916
ENSMUSG00000002319	-0.021707	-0.025755	-0.288843	-0.667610	-1.477466	-1.833260
ENSMUSG00000002320	-0.144668	-0.071437	-0.360156	-0.401496	-0.621163	-0.743772
ENSMUSG00000002325	-0.247675	0.177303	0.039135	0.080519	0.339698	0.582140
ENSMUSG00000002326	0.083481	-0.009617	-0.513613	-0.201785	-0.255630	-0.419030
ENSMUSG00000002329	-0.106588	-0.081727	-0.303988	0.500421	0.653721	0.611894
ENSMUSG00000002332	0.113818	0.350773	0.341771	0.946157	1.282926	1.026296
ENSMUSG00000002342	-0.007516	-0.116871	-0.786918	-0.425752	-0.726688	-1.098310
ENSMUSG00000002343	-0.402708	-0.439186	-0.636301	-0.961688	-0.799232	-1.005529
ENSMUSG00000002345	0.192282	0.329020	0.024312	0.645278	0.551834	0.933388
ENSMUSG00000002346	-0.512187	-0.610225	-0.260767	-0.288394	-0.546347	-1.197702
ENSMUSG00000002365	0.185364	-0.088998	0.010421	-0.229848	0.074213	0.233598
ENSMUSG00000002372	-0.016610	0.045293	0.032371	-0.138443	-0.168430	-0.079656
ENSMUSG00000002379	0.026330	0.067630	0.226868	0.322430	-0.018898	-0.116025
ENSMUSG00000002393	0.088713	0.198634	0.629665	0.376365	0.361328	0.347055
ENSMUSG00000002395	0.184187	0.187587	-0.078972	-0.039882	0.373822	0.925638
ENSMUSG00000002396	-0.277026	0.016536	-0.355523	-0.246629	-0.511128	-0.112984
ENSMUSG00000002409	-0.225186	-0.506000	-0.839618	0.886895	0.592353	0.443095
ENSMUSG00000002413	-0.040121	-0.124617	0.224021	-0.260042	0.130243	0.182209
ENSMUSG00000002416	-0.227345	-0.337237	-0.537219	-0.079313	-1.115643	-1.755954
ENSMUSG00000002428	0.088093	0.176186	0.167782	0.367015	0.382464	0.454424
ENSMUSG00000002455	-0.022523	0.181305	0.111027	-0.058339	0.019256	0.306235
ENSMUSG00000002458	0.017381	0.151192	0.179713	0.395672	0.060045	0.153014
ENSMUSG00000002477	-0.087969	0.379641	-0.137533	-0.564952	-1.153319	-1.083444
ENSMUSG00000002486	-0.142159	-0.251048	-0.579150	-0.657740	-0.320906	-0.227786
ENSMUSG00000002496	-0.167716	-0.114672	-0.215299	0.037529	0.092119	0.060012
ENSMUSG00000002500	0.758559	1.034573	-0.304184	1.319659	3.621476	6.066689
ENSMUSG00000002524	0.047480	-0.051741	0.218082	0.040954	0.152472	-0.006474
ENSMUSG00000002546	-0.091169	0.024173	0.075047	0.101035	0.474491	0.565923
ENSMUSG00000002550	0.105262	0.137656	0.523022	0.450026	0.374160	0.438430
ENSMUSG00000002565	-0.666272	-0.831188	-0.951725	-0.423855	-0.429602	-0.671418
ENSMUSG00000002580	0.015139	-0.019960	0.282484	0.085857	0.307176	0.346456
ENSMUSG00000002603	-0.474139	-0.353887	-0.335219	-0.526594	-0.904024	-0.972793
ENSMUSG00000002608	-0.137531	0.282101	0.442389	0.975922	0.957890	0.761727
ENSMUSG00000002617	-0.151686	-0.154421	-0.060540	0.512673	-0.141636	0.399940
